elevation_m,slope_deg,aspect_deg,profile_curvature,plan_curvature,topographic_wetness_index,dist_to_fault_m,dist_to_drainage_m,rainfall_24h_mm,rainfall_72h_antecedent_mm,rainfall_intensity_mm_h,soil_moisture_pct,pore_water_pressure_kpa,tilt_rate_mm_h,lithology_code,lulc_code,landslide_occurred
1297.5,24.89,151.4,-0.0098,0.0081,6.67,541.7,368.5,11.8,20.3,0.84,46.9,3.04,0.05,3,3,0
1868.4,40.82,231.2,-0.0406,-0.0524,4.11,599.9,68.7,32.6,84.8,4.42,66.3,1.44,0.0,5,2,0
2199.4,47.35,21.8,0.0699,-0.0139,3.17,1293.6,28.7,4.1,2.4,0.37,25.3,2.43,0.024,3,1,0
488.5,21.77,310.7,-0.1021,0.0522,6.69,2444.4,149.3,36.5,101.6,8.74,54.5,2.73,0.056,2,2,0
1082.7,39.56,316.3,0.01,0.0379,5.92,1176.1,697.7,149.4,455.3,37.77,73.0,0.0,0.053,1,1,1
1750.1,33.62,322.5,0.0057,-0.0277,3.41,659.9,292.0,133.4,293.3,22.96,77.7,9.41,0.0,2,1,1
1134.7,43.61,318.4,-0.01,0.0843,3.74,258.2,111.7,5.7,6.6,0.92,36.4,3.22,0.061,1,3,0
837.6,38.22,56.0,-0.0226,0.0224,4.99,293.7,1233.3,2.0,1.9,0.23,48.5,2.26,0.015,2,3,0
1376.9,36.96,85.6,-0.0451,-0.0549,7.97,408.7,83.3,8.8,13.8,1.46,32.3,0.98,0.005,1,3,0
1373.0,37.88,283.1,-0.0025,0.0656,4.73,1708.4,316.0,16.1,26.3,1.7,36.8,1.96,0.059,2,1,0
1096.9,36.35,324.7,0.0048,-0.0156,2.65,1566.7,537.6,11.3,19.4,1.25,36.2,2.11,0.081,1,1,0
1701.0,46.89,258.7,0.0094,0.0479,3.38,623.3,144.2,63.0,110.7,7.91,66.4,0.0,0.027,2,1,0
1895.7,45.36,310.4,0.0531,0.0048,5.66,381.2,657.5,195.0,369.1,54.22,79.5,15.49,0.075,4,3,1
410.7,33.9,56.5,0.0966,0.0377,5.36,53.7,1111.6,3.5,5.4,0.42,36.7,2.01,0.12,1,3,0
1281.5,33.47,251.7,0.0044,-0.004,4.8,2654.4,352.5,19.0,12.3,1.85,29.9,2.43,0.03,2,4,0
1882.1,53.32,149.4,0.0517,0.0061,4.5,92.7,33.9,90.5,182.4,16.97,70.7,4.98,0.024,5,1,1
1685.0,37.0,219.9,-0.074,0.0307,7.93,5725.3,76.3,75.0,235.9,17.26,72.4,1.05,0.0,2,3,1
1223.8,28.2,61.8,-0.0597,0.0081,5.04,1643.6,728.9,83.5,144.9,11.69,64.0,1.82,0.086,2,1,0
551.0,10.78,105.6,-0.1319,-0.0751,8.7,526.6,303.4,8.0,7.2,0.92,33.1,2.1,0.141,1,3,0
1526.9,34.14,160.3,-0.0282,-0.0308,6.71,1195.9,752.2,60.3,126.1,14.62,69.0,1.93,0.06,2,4,0
999.9,26.61,232.9,0.0323,-0.01,6.35,661.0,39.1,90.4,194.8,23.58,76.9,15.16,0.083,3,3,1
698.5,16.26,285.1,-0.0544,-0.0102,7.07,36.6,843.1,19.8,56.4,5.05,57.5,2.7,0.046,1,2,0
1265.1,30.76,129.9,0.0255,-0.0535,5.13,228.5,11.6,143.3,397.4,21.29,80.3,21.71,0.077,2,1,1
2032.3,66.59,217.3,0.0116,0.0144,3.48,104.2,721.8,16.3,9.8,1.61,33.4,0.8,0.011,4,2,0
1256.9,22.4,268.4,0.0052,-0.0436,3.84,41.2,92.9,14.5,17.7,1.64,36.5,2.14,0.117,1,1,0
1353.2,21.45,61.2,0.0257,-0.0575,4.95,438.1,241.7,140.5,321.3,22.11,85.9,34.97,0.07,1,2,1
1017.2,32.97,46.3,-0.0252,-0.0469,4.3,614.4,492.2,7.1,9.0,0.57,49.8,2.11,0.025,2,3,0
1227.1,43.83,193.5,-0.0452,0.04,4.12,2542.6,906.1,10.9,8.9,0.93,42.5,3.31,0.044,1,3,0
699.6,11.25,206.9,0.0237,0.004,6.92,351.9,190.9,133.6,400.7,19.13,77.5,13.16,0.111,2,3,1
1430.8,38.28,227.6,-0.0337,-0.0065,6.4,253.0,154.6,153.0,457.5,26.66,75.7,12.69,0.042,1,3,1
260.2,20.81,65.3,-0.0217,0.0857,6.11,2612.8,61.0,15.2,9.2,1.71,26.7,2.39,0.024,1,3,0
1263.3,27.19,308.0,0.0747,-0.0147,7.59,965.7,359.8,9.9,13.6,1.24,37.7,0.51,0.024,2,4,0
