sample_id,state,district,location_name,elevation_m,slope_deg,aspect_deg,profile_curvature,plan_curvature,topographic_wetness_index,dist_to_fault_m,dist_to_drainage_m,lithology_code,lulc_code,rainfall_24h_mm,rainfall_72h_antecedent_mm,rainfall_intensity_mm_h,soil_moisture_pct,pore_water_pressure_kpa,tilt_rate_mm_h,failure_probability,landslide_occurred
NER-SIM-00001,Sikkim,Mangan,North Sikkim Highway (Chungthang),2064.1,37.96,88.1,-0.0883,0.0711,4.36,2777.5,75.6,5,3,86.0,231.0,19.57,84.4,28.42,0.237,0.8047,1
NER-SIM-00002,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,321.0,12.97,205.5,0.0266,0.0057,7.24,3493.1,501.0,2,3,95.0,301.5,14.54,92.2,30.79,0.048,0.6999,1
NER-SIM-00003,Arunachal Pradesh,Lower Subansiri,Ziro Foothill Section,1404.0,31.95,161.1,-0.0392,-0.0063,4.53,370.2,684.7,4,3,10.7,12.3,0.93,39.3,4.38,0.059,0.2327,0
NER-SIM-00004,Assam,Dima Hasao,NH-27 Lumding-Haflong Hill Cut,910.2,46.02,317.8,0.1195,-0.0243,3.17,573.3,904.0,1,1,10.4,15.1,0.76,37.2,1.31,0.0,0.1185,0
NER-SIM-00005,Assam,Dima Hasao,NH-27 Lumding-Haflong Hill Cut,682.4,38.92,41.0,-0.0177,-0.0211,5.06,446.0,46.1,1,2,15.6,26.4,1.14,34.3,4.25,0.066,0.123,0
NER-SIM-00006,Mizoram,Aizawl,Aizawl-Lunglei Road Slopes,1107.4,37.11,343.2,-0.0679,-0.042,5.44,1660.3,435.1,1,3,124.0,239.8,18.92,79.6,15.92,0.014,0.6835,1
NER-SIM-00007,Sikkim,Mangan,North Sikkim Highway (Chungthang),1850.2,41.01,58.4,0.0261,0.0444,6.85,743.8,319.9,4,1,28.6,30.2,2.03,38.5,1.53,0.097,0.145,0
NER-SIM-00008,Manipur,Noney,Tupul Railway Corridor Section,1438.0,40.36,279.7,0.0002,0.0128,5.42,608.6,98.6,3,3,11.3,8.4,1.89,26.7,0.11,0.092,0.1649,0
NER-SIM-00009,Nagaland,Phek,Phek-Meluri Road Corridor,1372.8,37.84,20.5,-0.0235,0.037,3.23,835.3,88.5,3,3,2.1,1.5,0.31,28.6,3.99,0.024,0.2721,0
NER-SIM-00010,Sikkim,Mangan,North Sikkim Highway (Chungthang),1947.8,35.87,14.5,0.0391,0.0526,5.02,597.7,1000.6,5,2,107.4,293.9,14.68,81.7,17.26,0.044,0.7429,1
NER-SIM-00011,Assam,Karbi Anglong,Diphu-Bokajan Escarpment,137.8,28.67,139.7,0.0344,0.0273,6.07,2011.5,158.7,1,4,12.5,13.0,2.07,34.5,1.21,0.005,0.0738,0
NER-SIM-00012,Tripura,North Tripura,Jampui Hills Ridge Corridor,916.4,32.3,212.5,-0.0095,0.1516,5.07,592.5,70.3,1,3,29.8,20.3,2.24,34.6,2.63,0.045,0.1424,0
NER-SIM-00013,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,755.9,51.37,186.6,-0.0728,-0.0349,3.81,1970.4,327.7,3,1,16.4,27.8,1.89,34.8,3.6,0.078,0.1757,0
NER-SIM-00014,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,959.8,36.21,349.7,0.0432,0.0089,6.04,131.9,727.4,2,1,0.6,0.4,0.05,30.8,1.46,0.0,0.0433,0
NER-SIM-00015,Manipur,Noney,Tupul Railway Corridor Section,614.5,39.69,342.6,-0.0058,0.0529,2.87,1829.8,463.7,2,3,4.4,4.1,0.63,34.0,2.72,0.063,0.1468,0
NER-SIM-00016,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,812.9,30.33,226.3,0.0352,-0.0513,7.1,1364.4,594.7,3,4,14.5,16.3,2.32,35.5,0.63,0.047,0.0699,0
NER-SIM-00017,Assam,Karbi Anglong,Diphu-Bokajan Escarpment,86.8,22.41,215.9,-0.0538,0.0435,5.48,727.6,625.0,1,1,0.4,0.2,0.05,36.6,2.73,0.063,0.0266,0
NER-SIM-00018,Sikkim,Mangan,North Sikkim Highway (Chungthang),1462.5,50.98,146.3,0.0575,-0.0022,2.0,2176.7,147.8,5,1,51.7,155.1,11.58,75.7,8.25,0.066,0.2842,0
NER-SIM-00019,Mizoram,Aizawl,Aizawl-Lunglei Road Slopes,1140.3,34.5,286.4,0.0541,-0.0163,4.97,57.3,35.1,1,1,2.8,3.4,0.27,40.5,1.16,0.102,0.0794,0
NER-SIM-00020,Assam,Dima Hasao,NH-27 Lumding-Haflong Hill Cut,1002.3,22.13,113.3,-0.0203,-0.0514,5.9,578.4,100.9,1,1,5.9,6.9,0.6,37.6,2.83,0.132,0.0746,0
NER-SIM-00021,Assam,Karbi Anglong,Diphu-Bokajan Escarpment,694.0,50.71,332.1,0.0242,0.0352,2.43,1475.2,1264.7,1,1,170.3,263.7,25.41,86.8,20.11,1.05,0.8563,1
NER-SIM-00022,Meghalaya,South West Khasi Hills,Mawsynram Valley Slopes,1494.7,42.28,188.4,0.0293,0.0032,3.61,3295.4,30.0,1,1,2.7,3.2,0.42,38.7,0.38,0.0,0.0657,0
NER-SIM-00023,Nagaland,Kohima,NH-29 Dimapur-Kohima By-pass,1591.0,47.5,309.9,-0.0734,-0.0116,4.58,25.4,229.5,2,4,29.8,36.7,2.71,28.0,1.07,0.029,0.1422,0
NER-SIM-00024,Mizoram,Champhai,Champhai-Zokhawthar Border Cut,1391.4,32.55,214.6,0.0108,-0.0464,6.12,630.7,861.5,1,3,8.3,13.0,0.68,34.8,1.99,0.026,0.1178,0
NER-SIM-00025,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,880.2,22.28,324.8,0.0113,0.0162,9.04,5194.9,1.7,3,3,5.9,5.2,0.67,25.9,0.81,0.008,0.1191,0
NER-SIM-00026,Arunachal Pradesh,Lower Subansiri,Ziro Foothill Section,1700.3,23.77,155.6,-0.0929,-0.0247,6.7,1282.2,221.4,4,3,15.0,22.1,1.24,50.6,2.74,0.048,0.0699,0
NER-SIM-00027,Assam,Dima Hasao,NH-27 Lumding-Haflong Hill Cut,244.4,34.04,293.9,-0.0553,0.0033,5.45,1061.3,242.0,1,1,9.5,11.7,0.91,40.2,2.57,0.071,0.1105,0
NER-SIM-00028,Mizoram,Aizawl,Aizawl-Lunglei Road Slopes,1348.1,24.16,349.7,-0.017,0.0054,4.15,225.0,469.3,2,2,0.7,0.7,0.07,32.9,3.66,0.037,0.0625,0
NER-SIM-00029,Arunachal Pradesh,West Kameng,Bhalukpong-Bomdila-Tawang Route,2444.6,37.69,5.9,-0.0791,0.0352,7.9,461.4,154.6,4,1,80.9,243.2,19.61,72.1,0.0,0.07,0.739,1
NER-SIM-00030,Assam,Dima Hasao,NH-27 Lumding-Haflong Hill Cut,1090.6,17.83,310.9,0.0468,-0.0773,6.12,204.7,838.3,1,4,31.2,44.4,2.96,43.1,3.33,0.089,0.1089,0
NER-SIM-00031,Assam,Dima Hasao,NH-27 Lumding-Haflong Hill Cut,968.6,41.65,301.4,0.0133,0.0045,4.31,601.7,234.1,1,2,4.1,6.0,0.61,35.1,2.89,0.04,0.158,0
NER-SIM-00032,Nagaland,Phek,Phek-Meluri Road Corridor,1809.0,26.48,140.6,0.0824,-0.0091,6.55,297.0,533.3,3,1,169.3,508.1,21.83,78.2,12.87,0.051,0.9308,1
NER-SIM-00033,Sikkim,Mangan,North Sikkim Highway (Chungthang),1618.2,44.32,51.6,-0.0793,-0.046,6.81,1479.8,100.3,4,4,30.1,29.3,4.04,45.2,0.0,0.088,0.1482,0
NER-SIM-00034,Arunachal Pradesh,West Kameng,Bhalukpong-Bomdila-Tawang Route,2415.8,35.49,240.6,0.0176,-0.0077,5.77,1903.4,47.2,5,4,2.1,2.7,0.33,41.9,0.0,0.087,0.0875,0
NER-SIM-00035,Mizoram,Champhai,Champhai-Zokhawthar Border Cut,1297.1,36.28,293.7,-0.0413,0.0359,5.27,620.5,104.4,2,4,40.5,74.7,8.82,58.4,2.54,0.047,0.1592,0
NER-SIM-00036,Sikkim,Pakyong,NH-10 Sevoke-Gangtok Corridor,625.5,40.72,320.4,0.0279,-0.0669,5.71,904.6,93.7,3,2,46.2,96.5,6.64,58.8,4.02,0.122,0.3676,0
NER-SIM-00037,Mizoram,Aizawl,Aizawl-Lunglei Road Slopes,1055.9,56.94,61.6,-0.0286,-0.0887,5.54,205.6,156.5,1,3,147.4,244.2,25.8,79.8,14.81,0.027,0.9195,1
NER-SIM-00038,Mizoram,Aizawl,Aizawl-Lunglei Road Slopes,686.8,43.89,246.4,-0.0351,0.0174,4.09,806.8,627.6,1,4,22.9,36.2,1.82,48.4,3.79,0.024,0.1017,0
NER-SIM-00039,Meghalaya,East Khasi Hills,NH-6 Shillong-Tamabil Highway,1457.1,21.67,155.3,0.0668,0.0119,4.25,709.8,509.5,1,4,17.9,22.5,2.39,48.8,2.08,0.107,0.0576,0
NER-SIM-00040,Arunachal Pradesh,Lower Subansiri,Ziro Foothill Section,1763.3,36.75,68.0,0.0174,-0.0116,7.93,611.4,312.5,4,1,112.5,255.0,16.65,73.4,0.0,0.055,0.6652,1
NER-SIM-00041,Nagaland,Kohima,NH-29 Dimapur-Kohima By-pass,1531.7,38.54,355.7,-0.0681,0.0987,3.35,21.6,241.9,3,1,9.7,16.7,0.66,40.8,0.18,0.067,0.2699,0
NER-SIM-00042,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,1287.5,35.75,272.9,-0.0969,-0.0661,7.06,1693.3,106.1,2,4,1.4,1.3,0.11,30.6,2.78,0.041,0.0577,0
NER-SIM-00043,Manipur,Noney,Tupul Railway Corridor Section,969.2,37.86,233.6,0.0235,0.0334,4.75,51.1,50.6,2,1,121.8,313.2,15.87,85.6,28.36,2.935,0.9249,1
